price,type,bathrooms,size,address,date
"$2,395/mo",1bd,1ba,850sqft,"2529 Ellsworth St APT 1, Berkeley, CA 94704",2021-12-25
"$2,946+1 bd","$3,205+2 bds",,,"Avalon Berkeley | 651 Addison St, Berkeley, CA",2021-12-25
"$2,696+Studio","$3,559+2 bds","$4,920+3 bds",,"1122U | 1122 University Ave, Berkeley, CA",2021-12-25
"$2,602+1 bd","$3,895+2 bds",,,"Higby | 3015 San Pablo Ave, Berkeley, CA",2021-12-25
"$2,950+Studio","$3,225+1 bd","$4,550+2 bds",,"Parker | 2038 Parker St, Berkeley, CA",2021-12-25
"$1,650+Studio","$1,795+1 bd",,,"2801 College Ave | 2801 College Ave, Berkeley, CA",2021-12-25
"$1,995+1 bd",,,,"2033 Haste Street | 2033 Haste St, Berkeley, CA",2021-12-25
"$1,900+/mo",1bd,1ba,600sqft,"1945 Berkeley Way #A1RZNF1K7, Berkeley, CA 94704",2021-12-25
"$1,800/mo",Studio,1ba,425sqft,"2700 Sacramento St #10728851, Berkeley, CA 94702",2021-12-25
"$2,650/mo",1bd,1ba,450sqft,"1353 Hopkins St, Berkeley, CA 94702",2021-12-25
"$3,311+Studio","$3,647+1 bd","$3,975+2 bds",,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2021-12-25
"$2,400/mo",2bds,1ba,--sqft,"1635 Julia St #12, Berkeley, CA 94703",2021-12-25
"$3,715+1 bd",,,,"The Addison | 1950 Addison St, Berkeley, CA",2021-12-25
"$3,029+Studio","$3,220+1 bd","$5,308+2 bds",,"Jones Berkeley | 1080 Jones St, Berkeley, CA",2021-12-25
"$3,058+Studio","$3,277+1 bd",,,"The Dwight | 2121 Dwight Way, Berkeley, CA",2021-12-25
"$4,330+2 bds",,,,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2021-12-25
"$2,980+Studio","$3,320+1 bd","$4,525+2 bds",,"Blake at Berkeley | 2033 Blake St, Berkeley, CA",2021-12-25
"$4,123+1 bd","$4,130+2 bds",,,"Berkeley Central | 2055 Center St, Berkeley, CA",2021-12-25
"$2,808+1 bd","$3,551+2 bds",,,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2021-12-25
"$5,495/mo",3bds,1ba,--sqft,"2252 Parker St #301, Berkeley, CA 94704",2021-12-25
"$2,325/mo",1bd,1ba,--sqft,"2415 College Ave #2, Berkeley, CA 94704",2021-12-25
"$1,750/mo",1bd,1ba,--sqft,"2315 Webster St APT B, Berkeley, CA 94705",2021-12-25
"$2,195+/mo",1bd,1ba,--sqft,"928-934 Bancroft Way #AE4XYBWP8, Berkeley, CA 94710",2021-12-25
"$3,000/mo",2bds,2ba,962sqft,"2819 Derby St APT 202, Berkeley, CA 94705",2021-12-25
"$1,950/mo",1bd,1ba,600sqft,"1355 Scenic Ave, Berkeley, CA 94708",2021-12-25
"$3,875+3 bds","$4,850+4 bds",,,"3411V Adeline St, Berkeley, CA",2021-12-25
"$3,750/mo",2bds,2ba,850sqft,"2703 Stuart St APT 1, Berkeley, CA 94705",2021-12-25
"$2,600/mo",1bd,1ba,620sqft,"1926 Sacramento St, Berkeley, CA 94702",2021-12-25
"$2,795+/mo",2bds,1ba,542sqft,"2750 Dwight Way #25, Berkeley, CA 94704",2021-12-25
"$2,190/mo",1bd,1ba,730sqft,"1221 Oregon St APT A, Berkeley, CA 94702",2021-12-25
"$4,200/mo",2bds,2ba,"1,526sqft","2430 5th St, Berkeley, CA 94710",2021-12-25
"$1,495/mo",Studio,1ba,--sqft,"2441 Bonar St #2441B, Berkeley, CA 94702",2021-12-25
"$3,800/mo",2bds,1ba,980sqft,"1419 Milvia St, Berkeley, CA 94709",2021-12-25
"$2,795+2 bds",,,,"Isle of Dwight - 1 | 2750 Dwight Way, Berkeley, CA",2021-12-25
"$1,750+Studio","$1,900+1 bd",,,"2000 Durant Ave, Berkeley, CA",2021-12-25
"$1,950/mo",1bd,1ba,--sqft,"2419 San Pablo Ave #B, Berkeley, CA 94702",2021-12-25
"$3,195/mo",1bd,1ba,830sqft,"1785 Spruce St #5, Berkeley, CA 94709",2021-12-25
"$2,520/mo",1bd,1ba,750sqft,"2434 Stuart St #A, Berkeley, CA 94705",2021-12-25
"$2,195/mo",1bd,1ba,440sqft,"1507 Harmon St, Berkeley, CA 94703",2021-12-25
"$3,600+/mo",2bds,1ba,716sqft,"2525 Benvenue Ave APT 6, Berkeley, CA 94704",2021-12-25
