price,type,bathrooms,size,address,date
"$2,000/mo",1bd,1ba,665sqft,"2006 Channing Way, Berkeley, CA 94704",2022-03-24
"$2,595+2 bds",,,,"2030-2032 Bancroft Way | 2030-2032 Bancroft Way, Berkeley, CA",2022-03-24
"$2,595+1 bd","$2,595+2 bds","$3,960+3 bds",,"2456-2460 Parker St. | 2456-2460 Parker St, Berkeley, CA",2022-03-24
"$1,800+Studio","$2,095+1 bd","$3,520+2 bds","$4,000+3 bds","Parker House | 2511-2515 Parker St, Berkeley, CA",2022-03-24
"$2,895+Studio","$3,095+1 bd","$4,795+2 bds","$6,495+3 bds","URSA Berkeley | 2124 Bancroft Way, Berkeley, CA",2022-03-24
"$3,195+2 bds","$4,595+3 bds",,,"2610 Regent St. | 2610 Regent St, Berkeley, CA",2022-03-24
"$3,950/mo",3bds,1ba,"1,100sqft","2249 Bonar St #H, Berkeley, CA 94702",2022-03-24
"$2,836+Studio","$3,152+1 bd","$4,080+2 bds",,"Higby | 3015 San Pablo Ave, Berkeley, CA",2022-03-24
"$2,736+Studio","$4,410+2 bds",,,"Aquatic Shattuck | 2640 Shattuck Ave, Berkeley, CA",2022-03-24
"$3,095/mo",1bd,1ba,--sqft,"1821 Rose St, Berkeley, CA 94703",2022-03-24
"$3,200/mo",2bds,1ba,"3,946sqft","2918 Ellis St, Berkeley, CA 94703",2022-03-24
"$2,989+Studio","$2,679+1 bd","$3,784+2 bds","$5,514+3 bds","Sterling Berkeley Collection | 1916 Oxford St, Berkeley, CA",2022-03-24
"$3,195/mo",2bds,1ba,--sqft,"Parker CAL Apartments, 2414 Parker St APT 5, Berkeley, CA 94704",2022-03-24
"$3,150/mo",2bds,1ba,--sqft,"2 bed, 1.0 bath, $3,150, 2239 Channing Way #305, Berkeley, CA 94704",2022-03-24
"$2,995/mo",2bds,1ba,--sqft,"College Walk Apartments, 3001 College Ave APT C, Berkeley, CA 94705",2022-03-24
"$1,895/mo",1bd,1ba,575sqft,"1621 Blake street, 1621 Blake St #10, Berkeley, CA 94703",2022-03-24
"$2,595+Studio","$4,795+2 bds","$6,295+3 bds",,"The Granada | 2510 Bancroft Way, Berkeley, CA",2022-03-24
"$3,265+1 bd","$3,675+2 bds",,,"Modera Berkeley | 2119 University Ave, Berkeley, CA",2022-03-24
"$2,496+Studio","$2,808+1 bd","$3,694+2 bds",,"Aquatic Fourth Street | 2010 5th St, Berkeley, CA",2022-03-24
"$3,198+1 bd",,,,"The Dwight | 2121 Dwight Way, Berkeley, CA",2022-03-24
"$2,600/mo",1bd,1ba,540sqft,"1754 Allston Way, Berkeley, CA 94703",2022-03-24
"$2,596+Studio","$3,559+2 bds","$4,776+3 bds",,"1122U | 1122 University Ave, Berkeley, CA",2022-03-24
"$3,000/mo",2bds,1ba,754sqft,"1738 Stuart St #1, Berkeley, CA 94703",2022-03-24
"$2,000/mo",Studio,1ba,420sqft,"(undisclosed Address), Berkeley, CA 94708",2022-03-24
"$2,650/mo",1bd,1ba,--sqft,"2725 Haste St, Berkeley, CA 94704",2022-03-24
"$2,595+1 bd",,,,"Avalon Berkeley | 651 Addison St, Berkeley, CA",2022-03-24
"$3,483+1 bd","$3,580+2 bds",,,"Berkeley Central | 2055 Center St, Berkeley, CA",2022-03-24
"$2,950+Studio","$3,225+1 bd","$4,550+2 bds",,"Parker | 2038 Parker St, Berkeley, CA",2022-03-24
"$2,837+Studio","$3,768+1 bd","$4,459+2 bds",,"Jones Berkeley | 1080 Jones St, Berkeley, CA",2022-03-24
"$2,950/mo",1bd,1ba,"38,547sqft","2526 Durant Ave, Berkeley, CA 94704",2022-03-24
"$3,063+Studio","$3,333+1 bd","$4,638+2 bds",,"Blake at Berkley | 2033 Blake St, Berkeley, CA",2022-03-24
"$3,750/mo",2bds,1ba,"1,630sqft","1716 San Pablo Ave, Berkeley, CA 94702",2022-03-24
"$2,200/mo",2bds,1ba,--sqft,"1735 Berkeley Way #3, Berkeley, CA 94703",2022-03-24
"$3,300/mo",2bds,1ba,764sqft,"1801 University Ave UNIT 210, Berkeley, CA 94703",2022-03-24
"$2,975+Studio","$3,715+1 bd",,,"The Addison | 1950 Addison St, Berkeley, CA",2022-03-24
"$2,650/mo",2bds,1ba,70sqft,"1507 Prince St APT 2, Berkeley, CA 94703",2022-03-24
"$2,495/mo",1bd,1ba,687sqft,"2712 Derby St APT 2, Berkeley, CA 94705",2022-03-24
"$1,995+Studio","$2,295+1 bd","$2,995+2 bds","$4,195+3 bds","Shattuck Apartments | 2300-2350 Shattuck Sq, Berkeley, CA",2022-03-24
"$2,295+1 bd","$3,295+3 bds",,,"2732 Benvenue Ave. | 2732 Benvenue Ave, Berkeley, CA",2022-03-24
"$2,395+1 bd","$4,195+3 bds",,,"2540 Regent St. | 2540 Regent St, Berkeley, CA",2022-03-24
